Name of Study Spot,Size,Facilities,Place_ID
"Grainger Engineering Library","large","cafe/restaurant,vending machine,printer,loanable technology,wifi","ChIJtViDlmrXDIgRwp5DMl59fK4"
"Campus Instructional Facility (CIF)","large","cafe/restaurant,vending machine,printer,wifi,classrooms","ChIJQ5lPE23XDIgRD6LvRKYCcOY"
"Business Instructional Facility","large","cafe/restaurant,vending machine,printer,wifi,classrooms","ChIJBe2qxP3XDIgRV5W_-SsuPrM"
"Funk Agricultural, Consumer, and Environmental Sciences Library (Funk ACES)","large","cafe/restaurant,printer,wifi","ChIJwR71sBfXDIgRv9mtjD_0x14"
"Electrical and Computer Engineering Building","medium","wifi,classrooms","ChIJ7XUlvEHXDIgRZ-s1ZkNU2yg"
"Siebel Center for Design","medium","cafe/restaurant,vending machine,printer,loanable technology,wifi,classrooms","ChIJXQMDUA_XDIgRCMznJSyf--c"
"Thomas M. Siebel Center for Computer Science","large","cafe/restaurant,vending machine,printer,wifi,classrooms","ChIJqXmEqmvXDIgRMJY1DdQBn04"
"BrewLab Coffee","small","cafe/restaurant,wifi","ChIJYdQjsDjXDIgRAcnsygN7VKI"
"Caffe Bene","small","cafe/restaurant,wifi","ChIJOe7xTz_XDIgR1BXPnVSaZ_M"
"Undergraduate Library","large","cafe/restaurant,vending machine,printerloabable technology,wifi","ChIJbcxsjT3XDIgRrjTeNpUyYIY"
"Main Library","large","printer,loanable technology,wifi","ChIJa_UstD3XDIgRZUlIgRXSgeo"
"Illini Union","large","cafe/restaurant,vending machine,wifi","ChIJtVT0DevQDIgRg2QaCHxOuuc"
"Ikenberry Commons Residence Hall Library","small","cafe/restaurant,printer,wifi","ChIJi047ZzrXDIgRVfWJPgi6c1g"
"Krannert Center for the Performing Arts","medium","wifi","ChIJs2weZhTXDIgR9-Mz0s0qNrs"
"Sidney Lu Mechanical Engineering Building","large","cafe/restaurant,vending machine,printer,wifi,classrooms","ChIJu9TEbZXXDIgRZ6-SXW-uvn0"
"Loomis Laboratory Of Physics, University Of Illinois","small","wifi,classrooms","ChIJASGfuhTXDIgRac9qLZ-gsOU"
"Music and Performing Arts Library","medium","printer,loanable technology,wifi","ChIJAy2BLLjXDIgRLOnvDuYFwCA"
"Communications Library","large","printer,wifi","ChIJd7HjqkHXDIgRAMAapXgQM9M"
"Etc. Coffeehouse","small","cafe/restaurant,wifi","ChIJtWMl3xTXDIgRMs8NyrUljAQ"
"Beckman Institute","large","cafe/restaurant,printer,wifi","ChIJfd8U9CbXDIgRwbykVuLghwY"
"Everitt Laboratory","large","printer,wifi,classrooms","ChIJ56DIjj_XDIgRrTh8eeZEtF0"
